"Department=[Amazon.de]","Search Term=[]","Enter ASINs or Products=[]","Reporting Range=[Monthly]","Viewing=[1/1/18 - 1/31/18]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.de","switch",35,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","45.37%","15.72%","B01M6ZGICT","Nintendo Switch Konsole Grau","10.02%","6.06%","B000FNFSPY","TP-Link TL-SF1005D Netzwerk Switch (5x 10/100MBit/s RJ45 ports) weiß","8.18%","29.70%"
"Amazon.de","harry potter",36,"B01K1EHAC0","Harry Potter - The Complete Collection [8 DVDs]","34.81%","51.78%","B01M4N6KAS","Harry Potter - The Complete Collection [Blu-ray]","11.94%","14.35%",3551559007,"Harry Potter und das verwunschene Kind. Teil eins und zwei (Special Rehearsal Edition Script) (Harry Potter )","7.16%","3.68%"
"Amazon.de","ssd",37,"B00P736UEU","Samsung MZ-75E250B/EU 850 EVO interne SSD 250GB (6,4 cm (2,5 Zoll), SATA III) schwarz","29.23%","29.13%","B00P73B1E4","Samsung MZ-75E500B/EU 850 EVO interne SSD 500GB (6,4 cm (2,5 Zoll), SATA III) schwarz","14.89%","14.58%","B01F9G43WU","SanDisk SSD PLUS 240GB Sata III 2,5 Zoll Interne SSD, bis zu 530 MB/Sek","13.83%","20.66%"
"Amazon.de","wasserkocher",38,"B0019QLTMW","Philips HD4646/20  Serie Wasserkocher (1,5 Liter, 2400 Watt, Anti-Kalk), Silber/Schwarz","44.59%","56.55%","B0089K47UW","Clatronic WK 3445 Wasserkocher","9.23%","11.04%","B008JBWR1W","WMF BUENO Wasserkocher, 1,7 l, 2400 W, schnurlos, beleuchtete Wasserstandsanzeige, Kalk-Wasserfilter, cromargan matt/silber","5.94%","4.47%"
"Amazon.de","makita",39,"B0042CWWS0","Makita B-43044 Bohrer Bit Set 66tlg. im MAKPAC","18.48%","14.09%","B01JIOGFD4","Makita Akku-Schlagbohrschrauber (2x Akku/Ladegerät im Transportkoffer, 170 W, 10.8 V) HP331DSAX3","11.64%","19.35%","B01M04HJ7B","Makita 18 V LXT Li-ion Cordless Drywall Cutter Bare Unit, 1 Stück, DSD180Z","5.21%","4.07%"
"Amazon.de","bose",40,"B0117RGGDE","Bose SoundTouch 10 kabelloses Music System schwarz","14.27%","13.48%","B06XPFYG3D","Bose ® SoundLink Revolve Bluetooth Lautsprecher schwarz","10.40%","13.92%","B0117RGXC8","Bose ® Solo 5 TV Sound System schwarz","7.88%","7.29%"
"Amazon.de","toaster",41,"B01N9XBDTI","Philips HD2581/90 Toaster, integrierter Brötchenaufsatz, 8 Bräunungsstufen, schwarz","13.56%","17.20%","B0028QY4MY","Severin AT 2514 Automatik-Toaster (850 Watt, Brötchenaufsatz) edelstahl","11.86%","14.85%","B007HMTKU0","Severin AT 2509 Automatik-Toaster (1400 Watt, bis zu 4 Brotscheiben) edelstahl","10.18%","11.49%"
"Amazon.de","soundbar",42,"B0117RGXC8","Bose ® Solo 5 TV Sound System schwarz","28.59%","23.78%","B06XCTNZ6Y","Samsung HW-M450/EN Soundbar (320W, Bluetooth, Surround-Sound-Expansion) schwarz","10.44%","14.10%","B072176FZM","LG SJ1 2.0 Soundbar (40 Watt, Bluetooth) schwarz","7.77%","15.15%"
"Amazon.de","sodastream",43,"B06XGNM7R2","SodaStream CRYSTAL 2.0 Glaskaraffen Wassersprudler zum Sprudeln von Leitungswasser, mit spülmaschinenfester Glasflasche für Sprudelwasser. inkl. 1 Zylinder und 2 Glaskaraffen 0,6l; Farbe: Titan/Silber","31.16%","24.18%","B06XGLVC5L","SodaStream CRYSTAL 2.0 Umsteiger Wassersprudler zum Sprudeln von Leitungswasser, mit spülmaschinenfester Glasflasche für Ihr Sprudelwasser! inkl. 1 Glaskaraffe 0,6l OHNE Zylinder; Farbe: Titan/Silber","21.91%","17.24%","B01MSZ58DO","SodaStream Easy Wassersprudler zum Sprudeln von Leitungswasser, macht aus Leitungswasser Sprudelwasser - ohne schleppen. mit 1 Zylinder und 1L PET Flasche (BPA frei); Farbe: schwarz","19.69%","15.29%"
"Amazon.de","xbox one spiele",44,"B0753KMNRW","Biomutant - Standard Edition - [Xbox One]","11.80%","8.88%","B0787FVC81","A Way Out - [Xbox One]","10.72%","9.00%","B0773TT7QW","PLAYERUNKNOWN‘S BATTLEGROUNDS - Game Preview Edition [Code in The Box] - [Xbox One]","4.45%","6.04%"
